season,player,pos,age,team_id,g,gs,per,ts_per,fg3_pct,ft_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,mp_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2023,Precious Achiuwa,C,23,TOR,54,11,15.1,0.552,0.262,0.316,6.3,1.3,2.6,11.3,19.3,0.8,1.3,2.1,0.092,-1.5,-0.9,-2.4,-0.1,190,393,0.483,27,103,0.262,163,290,0.562,0.518,87,124,0.702,20.6,1.8,4,5.8,0.9,0.5,0.6,1.1,1.9,9.1
2023,Steven Adams,C,29,MEM,42,42,17.5,0.564,0.004,0.49,11.1,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,27,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
2023,Bam Adebayo,C,25,MIA,74,74,20,0.592,0.011,0.362,16,1.7,2.4,12.7,25.3,3.5,3.8,7.4,0.136,0.7,0.8,1.5,2.3,600,1111,0.54,1,12,0.083,599,1099,0.545,0.541,324,402,0.806,35,2.5,6.8,9.3,3.2,1.2,0.8,2.5,2.8,20.6
2023,Ochai Agbaji,SG,22,UTA,58,21,9.6,0.569,0.603,0.185,6.7,0.6,1.1,8.8,15.6,1,0.4,1.4,0.057,-1.5,-1.4,-2.9,-0.3,161,373,0.432,81,225,0.36,80,148,0.541,0.54,56,69,0.812,20.4,0.7,1.3,2.1,1,0.3,0.3,0.7,1.7,7.9
2023,Santi Aldama,PF,22,MEM,77,20,13.9,0.591,0.507,0.274,7.6,1.3,2.6,9.3,16,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,247,525,0.47,94,266,0.353,153,259,0.591,0.56,108,144,0.75,21.8,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9
2023,Nickeil Alexander-Walker,SG,24,TOT,58,3,11.9,0.567,0.533,0.206,16.6,1.8,2,14.3,18,0.4,0.8,1.2,0.065,-1.2,0.4,-0.8,0.3,130,291,0.447,60,155,0.387,70,136,0.515,0.55,40,60,0.667,14.9,0.3,1.5,1.7,1.8,0.6,0.3,0.9,1.5,6.2
2023,Nickeil Alexander-Walker,SG,24,UTA,36,3,13,0.609,0.512,0.229,20,2.2,2.2,19.4,18.4,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,14.7,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
2023,Nickeil Alexander-Walker,SG,24,MIN,22,0,10.1,0.507,0.562,0.174,11.4,1.1,1.5,5.8,17.4,0.1,0.3,0.4,0.051,-2.2,-0.6,-2.9,-0.1,47,121,0.388,25,68,0.368,22,53,0.415,0.492,13,21,0.619,15.4,0.3,1.6,1.9,1.3,0.4,0.3,0.4,1.2,6
2023,Grayson Allen,SG,27,MIL,72,70,12.3,0.612,0.657,0.226,10.9,1.5,0.6,10.5,14.6,2.9,2.2,5.1,0.124,-0.6,0.7,0.1,1,245,557,0.44,146,366,0.399,99,191,0.518,0.571,114,126,0.905,27.4,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4
2023,Jarrett Allen,C,24,CLE,67,67,19.9,0.671,0.014,0.355,7.5,1.2,3.4,11.3,16.4,5.5,3.9,9.5,0.206,1.4,1,2.4,2.4,401,622,0.645,1,9,0.111,400,613,0.653,0.645,162,221,0.733,33,3.3,6.6,9.9,1.7,0.8,1.2,1.4,2.3,14.4
