,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
0,90,Unknown,77053,HS-grad,9,Widowed,Unknown,Not-in-family,White,Female,0,4356,40,United-States,<=50K,18559
1,82,Private,132870,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K,6498
2,66,Unknown,186061,Some-college,10,Widowed,Unknown,Unmarried,Black,Female,0,4356,40,United-States,<=50K,20147
3,54,Private,140359,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,<=50K,39182
4,41,Private,264663,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,<=50K,14094
5,34,Private,216864,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,<=50K,35306
7,74,State-gov,88638,Doctorate,16,Single,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,>50K,138338
8,68,Federal-gov,422013,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K,41661
10,45,Private,172274,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,>50K,326869
12,52,Private,129177,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,>50K,467847
21,29,Private,77009,11th,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,<=50K,4165
22,61,Private,29059,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,<=50K,21197
31,59,Self-emp-inc,107287,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,>50K,488041
35,63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K,361662
37,51,Private,197163,Prof-school,15,Single,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,>50K,489592
38,37,Self-emp-not-inc,137527,Doctorate,16,Single,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K,179951
39,54,Private,161691,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K,194109
41,43,Private,115806,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K,117836
42,51,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,>50K,338700
43,43,Private,289669,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K,150766
45,48,Private,121253,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K,481693
48,68,Unknown,192052,Some-college,10,Married-civ-spouse,Unknown,Wife,White,Female,0,2457,40,United-States,<=50K,21478
51,50,Private,237729,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K,340005
53,42,Private,107276,Some-college,10,Single,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K,222887
58,38,Private,237608,Bachelors,13,Single,Sales,Not-in-family,White,Female,0,2444,45,United-States,>50K,76314
62,44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K,159999
74,39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K,386424
94,31,Self-emp-not-inc,252752,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,>50K,270743
104,41,Self-emp-inc,114580,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,>50K,165367
108,50,Private,102346,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,>50K,346347
122,49,Self-emp-inc,158685,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K,154529
125,27,Private,156516,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,<=50K,10273
142,46,Private,214955,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,<=50K,25152
146,60,State-gov,358893,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,<=50K,11776
149,25,Private,77071,Bachelors,13,Single,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,<=50K,29425
150,55,Private,158702,Some-college,10,Single,Adm-clerical,Not-in-family,Black,Female,0,2339,45,Unknown,<=50K,23980
151,59,Local-gov,171328,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,<=50K,42537
153,43,Unknown,152569,Assoc-voc,11,Widowed,Unknown,Not-in-family,White,Female,0,2339,36,United-States,<=50K,20446
154,56,Self-emp-not-inc,346635,Masters,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,<=50K,7143
156,42,Private,191765,HS-grad,9,Single,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,<=50K,34470
158,40,Self-emp-not-inc,33310,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,<=50K,41365
162,55,Local-gov,176046,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,<=50K,29590
167,40,Private,287983,Bachelors,13,Single,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K,22264
170,29,Private,135296,Bachelors,13,Single,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K,105483
176,23,Private,102942,Bachelors,13,Single,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,222384
179,38,Local-gov,162613,Masters,14,Single,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,<=50K,38873
180,57,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,184651
183,49,State-gov,269417,Doctorate,16,Single,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,301394
187,48,Private,175070,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K,442641
189,55,Local-gov,99131,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,>50K,227618
194,31,Private,327825,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,<=50K,2489
195,28,Private,129460,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,<=50K,2899
200,68,Private,166149,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,<=50K,23435
201,65,Private,149811,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,<=50K,40311
202,65,Unknown,143118,HS-grad,9,Widowed,Unknown,Unmarried,White,Female,0,2206,10,United-States,<=50K,38637
203,67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K,17588
204,66,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,35841
207,35,Private,108293,Some-college,10,Single,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,<=50K,19400
208,20,Private,107801,Assoc-acdm,12,Single,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K,8989
210,39,Private,155603,Some-college,10,Single,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K,13115
211,32,Private,27882,Some-college,10,Single,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,<=50K,9418
213,63,Unknown,234083,HS-grad,9,Divorced,Unknown,Not-in-family,White,Female,0,2205,40,United-States,<=50K,41440
221,34,Self-emp-not-inc,56460,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,United-States,<=50K,39320
223,29,Private,119004,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,40,United-States,<=50K,48599
240,43,Private,143582,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,2129,72,Unknown,<=50K,19379
246,51,Self-emp-not-inc,268639,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,Canada,<=50K,19500
248,29,Private,239753,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,United-States,<=50K,22205
249,34,Private,199864,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,United-States,<=50K,10679
293,36,Private,183739,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,2002,40,United-States,<=50K,3392
307,25,Private,121102,Assoc-acdm,12,Single,Tech-support,Not-in-family,White,Female,0,2001,30,United-States,<=50K,16693
310,55,Unknown,123382,HS-grad,9,Separated,Unknown,Not-in-family,Black,Female,0,2001,40,United-States,<=50K,33780
314,19,Private,264390,Some-college,10,Single,Adm-clerical,Own-child,White,Female,0,2001,40,United-States,<=50K,7763
315,24,Private,210029,HS-grad,9,Single,Adm-clerical,Not-in-family,White,Female,0,2001,37,United-States,<=50K,9296
317,21,Local-gov,102942,Some-college,10,Single,Other-service,Not-in-family,White,Female,0,2001,40,United-States,<=50K,31175
321,48,Private,93476,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,2001,40,United-States,<=50K,20608
324,36,Private,297847,HS-grad,9,Single,Other-service,Not-in-family,Black,Female,0,2001,40,United-States,<=50K,24192
327,35,Private,187119,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,1980,65,United-States,<=50K,31275
330,28,Local-gov,304960,Assoc-acdm,12,Single,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K,22150
334,28,Private,184723,Bachelors,13,Single,Tech-support,Not-in-family,White,Female,0,1980,35,United-States,<=50K,20055
335,41,Federal-gov,185616,HS-grad,9,Single,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K,19780
336,35,Private,54595,10th,6,Widowed,Other-service,Not-in-family,Black,Female,0,1980,40,United-States,<=50K,1315
337,58,Private,126104,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,1980,45,United-States,<=50K,3752
340,30,Private,207301,HS-grad,9,Single,Sales,Not-in-family,White,Female,0,1980,40,United-States,<=50K,31126
344,56,Private,34626,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1980,40,United-States,<=50K,45381
353,36,Self-emp-inc,108293,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,45,United-States,>50K,90500
355,29,Self-emp-inc,260729,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,1977,25,United-States,>50K,54682
356,50,Private,133963,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,>50K,103480
374,49,Private,101825,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40,United-States,>50K,274879
388,57,Local-gov,174132,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1977,40,United-States,>50K,438324
421,45,Private,363677,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,30,United-States,>50K,404829
436,28,Private,114158,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K,450739
439,45,Local-gov,159816,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,35,United-States,>50K,81972
456,58,Self-emp-not-inc,147653,10th,6,Married-civ-spouse,Craft-repair,Wife,White,Female,0,1977,35,Unknown,>50K,288802
464,40,Self-emp-not-inc,175943,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,15,United-States,>50K,74283
468,35,Private,99357,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,30,United-States,>50K,499976
478,40,Private,46990,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,20,United-States,>50K,431953
482,39,Private,134367,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K,60715
489,56,Self-emp-not-inc,48102,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,50,United-States,>50K,334768
495,54,Self-emp-not-inc,109418,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,35,United-States,>50K,277491
500,36,Private,386726,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,44,United-States,>50K,415439
506,49,Local-gov,298445,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,60,United-States,>50K,263325
510,39,Local-gov,344855,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,20,United-States,>50K,254841
511,26,Unknown,370727,Bachelors,13,Married-civ-spouse,Unknown,Wife,White,Female,0,1977,40,United-States,>50K,488021
518,23,Private,275818,Some-college,10,Single,Sales,Not-in-family,White,Female,0,1974,40,United-States,<=50K,24561
519,47,Private,133758,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,1974,40,United-States,<=50K,26704
520,30,Private,43953,HS-grad,9,Single,Adm-clerical,Other-relative,White,Female,0,1974,40,United-States,<=50K,33658
522,26,Private,58098,Some-college,10,Single,Adm-clerical,Not-in-family,White,Female,0,1974,40,United-States,<=50K,27603
527,56,Private,105281,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,1974,40,United-States,<=50K,39384
529,34,Private,258666,Assoc-voc,11,Single,Tech-support,Not-in-family,White,Female,0,1974,40,United-States,<=50K,45909
531,23,Private,188545,Assoc-acdm,12,Single,Adm-clerical,Own-child,White,Female,0,1974,20,United-States,<=50K,30662
532,24,Federal-gov,210736,HS-grad,9,Single,Adm-clerical,Not-in-family,White,Female,0,1974,40,United-States,<=50K,36944
534,77,Self-emp-not-inc,71676,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,1944,1,United-States,<=50K,37222
535,47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K,119989
544,48,State-gov,55863,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,46,United-States,>50K,354229
552,45,Private,26522,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,35,United-States,>50K,490794
557,49,Private,101320,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,1902,40,United-States,>50K,241033
560,43,Local-gov,105862,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,40,United-States,>50K,270172
571,50,Private,184424,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,38,United-States,>50K,121911
574,44,Self-emp-not-inc,402397,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,60,United-States,>50K,50080
576,28,Local-gov,250135,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,55,United-States,<=50K,23563
579,38,Private,169926,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K,324254
