,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
0,90,Unknown,77053,Highschool Graduate,9,Widowed,Unknown,Single,White,0,4356,40,United-States,<=50K,11697
1,82,Private,132870,Highschool Graduate,9,Widowed,Exec-managerial,Single,White,0,4356,18,United-States,<=50K,5958
2,66,Unknown,186061,Bachelors Degree,10,Widowed,Unknown,Single,Black,0,4356,40,United-States,<=50K,32974
3,54,Private,140359,Highschool Graduate,4,Divorced,Machine-op-inspct,Single,White,0,3900,40,United-States,<=50K,8208
4,41,Private,264663,Bachelors Degree,10,Separated,Prof-specialty,Single,White,0,3900,40,United-States,<=50K,45292
5,34,Private,216864,Highschool Graduate,9,Divorced,Other-service,Single,White,0,3770,45,United-States,<=50K,18184
7,74,State-gov,88638,Advanced Degree,16,Single,Prof-specialty,Single,White,0,3683,20,United-States,>50K,263245
8,68,Federal-gov,422013,Highschool Graduate,9,Divorced,Prof-specialty,Single,White,0,3683,40,United-States,<=50K,47707
10,45,Private,172274,Advanced Degree,16,Divorced,Prof-specialty,Single,Black,0,3004,35,United-States,>50K,192057
12,52,Private,129177,Bachelors Degree,13,Widowed,Other-service,Single,White,0,2824,20,United-States,>50K,433649
21,29,Private,77009,Highschool Graduate,7,Separated,Sales,Single,White,0,2754,42,United-States,<=50K,38613
22,61,Private,29059,Highschool Graduate,9,Divorced,Sales,Single,White,0,2754,25,United-States,<=50K,24016
31,59,Self-emp-inc,107287,Highschool Graduate,6,Widowed,Exec-managerial,Single,White,0,2559,50,United-States,>50K,413069
35,63,Federal-gov,39181,Advanced Degree,16,Divorced,Exec-managerial,Single,White,0,2559,60,United-States,>50K,276485
37,51,Private,197163,Technical School,15,Single,Prof-specialty,Single,White,0,2559,50,United-States,>50K,452400
38,37,Self-emp-not-inc,137527,Advanced Degree,16,Single,Prof-specialty,Single,White,0,2559,60,United-States,>50K,70232
39,54,Private,161691,Advanced Degree,14,Divorced,Prof-specialty,Single,White,0,2559,40,United-States,>50K,75079
41,43,Private,115806,Advanced Degree,14,Divorced,Exec-managerial,Single,White,0,2547,40,United-States,>50K,353174
42,51,Private,115066,Bachelors Degree,10,Divorced,Adm-clerical,Single,White,0,2547,40,United-States,>50K,219860
43,43,Private,289669,Advanced Degree,14,Divorced,Prof-specialty,Single,White,0,2547,40,United-States,>50K,197517
45,48,Private,121253,Bachelors Degree,13,Married-spouse-absent,Sales,Single,White,0,2472,70,United-States,>50K,300692
48,68,Unknown,192052,Bachelors Degree,10,Married-civ-spouse,Unknown,Married,White,0,2457,40,United-States,<=50K,31790
51,50,Private,237729,Highschool Graduate,9,Widowed,Sales,Single,White,0,2444,72,United-States,>50K,476182
53,42,Private,107276,Bachelors Degree,10,Single,Exec-managerial,Single,White,0,2444,40,United-States,>50K,115646
58,38,Private,237608,Bachelors Degree,13,Single,Sales,Single,White,0,2444,45,United-States,>50K,441131
