,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
0,90,Unknown,77053,Highschool Graduate,9,Widowed,Unknown,Single,White,Female,0,4356,40,United-States,<=50K,11697
1,82,Private,132870,Highschool Graduate,9,Widowed,Exec-managerial,Single,White,Female,0,4356,18,United-States,<=50K,5958
2,66,Unknown,186061,Bachelors Degree,10,Widowed,Unknown,Single,Black,Female,0,4356,40,United-States,<=50K,32974
3,54,Private,140359,Highschool Graduate,4,Divorced,Machine-op-inspct,Single,White,Female,0,3900,40,United-States,<=50K,8208
4,41,Private,264663,Bachelors Degree,10,Separated,Prof-specialty,Single,White,Female,0,3900,40,United-States,<=50K,45292
5,34,Private,216864,Highschool Graduate,9,Divorced,Other-service,Single,White,Female,0,3770,45,United-States,<=50K,18184
6,38,Private,150601,Highschool Graduate,6,Separated,Adm-clerical,Single,White,Male,0,3770,40,United-States,<=50K,44248
7,74,State-gov,88638,Advanced Degree,16,Single,Prof-specialty,Single,White,Female,0,3683,20,United-States,>50K,263245
8,68,Federal-gov,422013,Highschool Graduate,9,Divorced,Prof-specialty,Single,White,Female,0,3683,40,United-States,<=50K,47707
9,41,Private,70037,Bachelors Degree,10,Single,Craft-repair,Single,White,Male,0,3004,60,Unknown,>50K,464367
10,45,Private,172274,Advanced Degree,16,Divorced,Prof-specialty,Single,Black,Female,0,3004,35,United-States,>50K,192057
11,38,Self-emp-not-inc,164526,Technical School,15,Single,Prof-specialty,Single,White,Male,0,2824,45,United-States,>50K,140423
12,52,Private,129177,Bachelors Degree,13,Widowed,Other-service,Single,White,Female,0,2824,20,United-States,>50K,433649
13,32,Private,136204,Advanced Degree,14,Separated,Exec-managerial,Single,White,Male,0,2824,55,United-States,>50K,378690
14,51,Unknown,172175,Advanced Degree,16,Single,Unknown,Single,White,Male,0,2824,40,United-States,>50K,485137
15,46,Private,45363,Technical School,15,Divorced,Prof-specialty,Single,White,Male,0,2824,40,United-States,>50K,212643
16,45,Private,172822,Highschool Graduate,7,Divorced,Transport-moving,Single,White,Male,0,2824,76,United-States,>50K,249361
17,57,Private,317847,Advanced Degree,14,Divorced,Exec-managerial,Single,White,Male,0,2824,50,United-States,>50K,78722
18,22,Private,119592,Technical School,12,Single,Handlers-cleaners,Single,Black,Male,0,2824,40,Unknown,>50K,311158
19,34,Private,203034,Bachelors Degree,13,Separated,Sales,Single,White,Male,0,2824,50,United-States,>50K,217788
20,37,Private,188774,Bachelors Degree,13,Single,Exec-managerial,Single,White,Male,0,2824,40,United-States,>50K,159186
21,29,Private,77009,Highschool Graduate,7,Separated,Sales,Single,White,Female,0,2754,42,United-States,<=50K,38613
22,61,Private,29059,Highschool Graduate,9,Divorced,Sales,Single,White,Female,0,2754,25,United-States,<=50K,24016
23,51,Private,153870,Bachelors Degree,10,Married-civ-spouse,Transport-moving,Married,White,Male,0,2603,40,United-States,<=50K,35865
24,61,Unknown,135285,Highschool Graduate,9,Married-civ-spouse,Unknown,Married,White,Male,0,2603,32,United-States,<=50K,1967
25,21,Private,34310,Technical School,11,Married-civ-spouse,Craft-repair,Married,White,Male,0,2603,40,United-States,<=50K,34516
26,33,Private,228696,Highschool Graduate,2,Married-civ-spouse,Craft-repair,Single,White,Male,0,2603,32,Mexico,<=50K,45458
27,49,Private,122066,Highschool Graduate,3,Married-civ-spouse,Other-service,Married,White,Male,0,2603,40,Greece,<=50K,19666
28,37,Self-emp-inc,107164,Highschool Graduate,6,Single,Transport-moving,Single,White,Male,0,2559,50,United-States,>50K,437599
29,38,Private,175360,Highschool Graduate,6,Single,Prof-specialty,Single,White,Male,0,2559,90,United-States,>50K,433029
30,23,Private,44064,Bachelors Degree,10,Separated,Other-service,Single,White,Male,0,2559,40,United-States,>50K,310110
31,59,Self-emp-inc,107287,Highschool Graduate,6,Widowed,Exec-managerial,Single,White,Female,0,2559,50,United-States,>50K,413069
32,52,Private,198863,Technical School,15,Divorced,Exec-managerial,Single,White,Male,0,2559,60,United-States,>50K,82946
33,51,Private,123011,Bachelors Degree,13,Divorced,Exec-managerial,Single,White,Male,0,2559,50,United-States,>50K,143385
34,60,Self-emp-not-inc,205246,Highschool Graduate,9,Single,Exec-managerial,Single,Black,Male,0,2559,50,United-States,>50K,257863
35,63,Federal-gov,39181,Advanced Degree,16,Divorced,Exec-managerial,Single,White,Female,0,2559,60,United-States,>50K,276485
36,53,Private,149650,Highschool Graduate,9,Single,Sales,Single,White,Male,0,2559,48,United-States,>50K,477448
37,51,Private,197163,Technical School,15,Single,Prof-specialty,Single,White,Female,0,2559,50,United-States,>50K,452400
38,37,Self-emp-not-inc,137527,Advanced Degree,16,Single,Prof-specialty,Single,White,Female,0,2559,60,United-States,>50K,70232
39,54,Private,161691,Advanced Degree,14,Divorced,Prof-specialty,Single,White,Female,0,2559,40,United-States,>50K,75079
40,44,Private,326232,Bachelors Degree,13,Divorced,Exec-managerial,Single,White,Male,0,2547,50,United-States,>50K,174104
41,43,Private,115806,Advanced Degree,14,Divorced,Exec-managerial,Single,White,Female,0,2547,40,United-States,>50K,353174
42,51,Private,115066,Bachelors Degree,10,Divorced,Adm-clerical,Single,White,Female,0,2547,40,United-States,>50K,219860
43,43,Private,289669,Advanced Degree,14,Divorced,Prof-specialty,Single,White,Female,0,2547,40,United-States,>50K,197517
44,71,Unknown,100820,Highschool Graduate,9,Married-civ-spouse,Unknown,Married,White,Male,0,2489,15,United-States,<=50K,5370
45,48,Private,121253,Bachelors Degree,13,Married-spouse-absent,Sales,Single,White,Female,0,2472,70,United-States,>50K,300692
46,71,Private,110380,Highschool Graduate,9,Married-civ-spouse,Sales,Married,White,Male,0,2467,52,United-States,<=50K,30706
47,73,Self-emp-not-inc,233882,Highschool Graduate,9,Married-civ-spouse,Farming-fishing,Married,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K,21065
48,68,Unknown,192052,Bachelors Degree,10,Married-civ-spouse,Unknown,Married,White,Female,0,2457,40,United-States,<=50K,31790
49,67,Unknown,174995,Bachelors Degree,10,Married-civ-spouse,Unknown,Married,White,Male,0,2457,40,United-States,<=50K,44776
50,40,Self-emp-not-inc,335549,Technical School,15,Single,Prof-specialty,Single,White,Male,0,2444,45,United-States,>50K,185627
51,50,Private,237729,Highschool Graduate,9,Widowed,Sales,Single,White,Female,0,2444,72,United-States,>50K,476182
52,51,State-gov,68898,Technical School,11,Divorced,Tech-support,Single,White,Male,0,2444,39,United-States,>50K,157170
53,42,Private,107276,Bachelors Degree,10,Single,Exec-managerial,Single,White,Female,0,2444,40,United-States,>50K,115646
54,39,Private,141584,Advanced Degree,14,Single,Sales,Single,White,Male,0,2444,45,United-States,>50K,443998
55,32,Private,207668,Bachelors Degree,13,Single,Exec-managerial,Single,White,Male,0,2444,50,United-States,>50K,353330
56,53,Private,313243,Bachelors Degree,10,Separated,Craft-repair,Single,White,Male,0,2444,45,United-States,>50K,455368
57,40,Local-gov,147372,Bachelors Degree,10,Single,Protective-serv,Single,White,Male,0,2444,40,United-States,>50K,110470
58,38,Private,237608,Bachelors Degree,13,Single,Sales,Single,White,Female,0,2444,45,United-States,>50K,441131
59,33,Private,194901,Technical School,11,Separated,Craft-repair,Single,White,Male,0,2444,42,United-States,>50K,297753
60,43,Private,155106,Technical School,12,Divorced,Craft-repair,Single,White,Male,0,2444,70,United-States,>50K,472112
61,50,Self-emp-inc,121441,Highschool Graduate,7,Single,Exec-managerial,Single,White,Male,0,2444,40,United-States,>50K,142790
62,44,Private,162028,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,Female,0,2415,6,United-States,>50K,134345
63,51,Self-emp-not-inc,160724,Bachelors Degree,13,Married-civ-spouse,Sales,Married,Asian-Pac-Islander,Male,0,2415,40,China,>50K,70236
64,41,Private,132222,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,40,United-States,>50K,429896
65,60,Self-emp-inc,226355,Technical School,11,Married-civ-spouse,Machine-op-inspct,Married,White,Male,0,2415,70,Unknown,>50K,113005
66,37,Private,329980,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,60,United-States,>50K,281127
67,55,Self-emp-inc,124137,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,35,Greece,>50K,196699
68,39,Self-emp-inc,329980,Bachelors Degree,13,Married-civ-spouse,Sales,Married,White,Male,0,2415,60,United-States,>50K,426025
69,42,Self-emp-inc,187702,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,60,United-States,>50K,446602
70,49,Private,199029,Bachelors Degree,13,Married-civ-spouse,Sales,Married,White,Male,0,2415,55,United-States,>50K,286003
71,47,Self-emp-not-inc,145290,Highschool Graduate,9,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,50,United-States,>50K,460020
72,41,Local-gov,297248,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,45,United-States,>50K,367637
73,55,Self-emp-inc,227856,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,50,United-States,>50K,264129
74,39,Private,179731,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,Female,0,2415,65,United-States,>50K,126720
75,42,Private,154374,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,60,United-States,>50K,376609
76,41,Unknown,27187,Technical School,11,Married-civ-spouse,Unknown,Married,White,Male,0,2415,12,United-States,>50K,124389
77,46,Private,326857,Advanced Degree,14,Married-civ-spouse,Sales,Married,White,Male,0,2415,65,United-States,>50K,481246
78,40,Private,160369,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,45,United-States,>50K,289992
79,32,Private,396745,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,48,United-States,>50K,475171
80,41,Self-emp-inc,151089,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,55,United-States,>50K,63707
81,60,Self-emp-inc,336188,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,80,United-States,>50K,312241
82,31,Private,279015,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,70,Taiwan,>50K,85235
83,58,Self-emp-not-inc,43221,Bachelors Degree,10,Married-civ-spouse,Farming-fishing,Married,White,Male,0,2415,40,United-States,>50K,332938
84,37,Self-emp-inc,30529,Bachelors Degree,13,Married-civ-spouse,Sales,Married,White,Male,0,2415,50,United-States,>50K,450119
85,44,Self-emp-not-inc,201742,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,50,United-States,>50K,336782
86,39,Self-emp-not-inc,218490,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,50,Unknown,>50K,269791
87,43,Federal-gov,156996,Technical School,15,Married-civ-spouse,Prof-specialty,Married,Asian-Pac-Islander,Male,0,2415,55,Unknown,>50K,262088
88,55,Self-emp-inc,298449,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,50,United-States,>50K,416674
89,44,Self-emp-inc,191712,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,55,United-States,>50K,362939
90,39,Private,198654,Technical School,15,Married-civ-spouse,Prof-specialty,Married,Asian-Pac-Islander,Male,0,2415,67,India,>50K,236685
91,46,Self-emp-not-inc,102308,Bachelors Degree,13,Married-civ-spouse,Sales,Married,White,Male,0,2415,40,United-States,>50K,72653
92,39,Private,348521,Bachelors Degree,10,Married-civ-spouse,Farming-fishing,Married,White,Male,0,2415,99,United-States,>50K,431852
93,62,Self-emp-inc,56248,Bachelors Degree,13,Married-civ-spouse,Farming-fishing,Married,White,Male,0,2415,60,United-States,>50K,362419
94,31,Self-emp-not-inc,252752,Highschool Graduate,9,Married-civ-spouse,Other-service,Married,White,Female,0,2415,40,United-States,>50K,336861
95,46,Private,192963,Bachelors Degree,13,Married-civ-spouse,Adm-clerical,Married,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K,379656
96,46,Self-emp-not-inc,198759,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,80,United-States,>50K,279904
97,39,Self-emp-inc,143123,Technical School,11,Married-civ-spouse,Craft-repair,Married,White,Male,0,2415,40,United-States,>50K,383878
98,39,Private,237713,Technical School,15,Married-civ-spouse,Sales,Married,White,Male,0,2415,99,United-States,>50K,80658
99,59,Private,81929,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,45,United-States,>50K,56075
100,50,Self-emp-inc,167793,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,60,United-States,>50K,331959
101,46,Private,456062,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,55,United-States,>50K,317942
102,53,Self-emp-not-inc,105478,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,40,United-States,>50K,92000
103,50,Self-emp-not-inc,42402,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,30,United-States,>50K,210155
104,41,Self-emp-inc,114580,Technical School,15,Married-civ-spouse,Exec-managerial,Married,White,Female,0,2415,55,United-States,>50K,345651
105,36,Private,346478,Bachelors Degree,13,Married-civ-spouse,Sales,Married,White,Male,0,2415,45,United-States,>50K,316492
106,38,Private,187870,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,90,United-States,>50K,199277
107,54,Private,35576,Bachelors Degree,10,Married-civ-spouse,Sales,Married,White,Male,0,2415,50,United-States,>50K,443129
108,50,Private,102346,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Female,0,2415,20,United-States,>50K,368243
109,47,Private,148995,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2415,60,United-States,>50K,318016
110,47,Self-emp-inc,102308,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2415,45,United-States,>50K,306491
111,67,Private,105252,Bachelors Degree,13,Widowed,Exec-managerial,Single,White,Male,0,2392,40,United-States,>50K,232520
112,67,Self-emp-inc,106175,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2392,75,United-States,>50K,464339
113,72,Self-emp-not-inc,52138,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,Male,0,2392,25,United-States,>50K,407625
114,72,Unknown,118902,Advanced Degree,16,Married-civ-spouse,Unknown,Married,White,Male,0,2392,6,United-States,>50K,366464
115,46,Self-emp-inc,191978,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,Male,0,2392,50,United-States,>50K,183764
