,zpid,price,priceLabel,beds,baths,area,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,shouldShowZestimateAsPrice,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.openHouse,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,variableData,hdpData.homeInfo.unit,buildingId,lotId,minBeds,minBaths,minArea,unitCount,buildingName,isBuilding,badgeInfo,canSaveBuilding,lotAreaString,streetViewMetadataURL,streetViewURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_comingSoon,variableData.data.isFresh,communityName,isPropertyResultCDP,style,isCdpResult,hdpData.homeInfo.group_type,hdpData.homeInfo.priceSuffix,hdpData.homeInfo.providerListingID,info3String,info1String,brokerName,plid,badgeInfo.type,badgeInfo.text
0,44329567,"$498,000",$498K,3.0,2.0,1986.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/fb1edca6b3e2eac15920ad2ee077827b-p_e.jpg,True,False,,False,/homedetails/15053-SW-142nd-Ct-Miami-FL-33186/44329567_zpid/,ForSale,For Sale (Broker),False,False,False,"15053 SW 142nd Ct, Miami, FL 33186",False,False,False,,390284349.0,25.62687,-80.42322,OPEN_HOUSE,Open: Sat. 4-6pm,44329567.0,15053 SW 142nd Ct,33186,Miami,FL,25.62687,-80.42322,498000.0,2.0,3.0,1986.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,476347.0,3858.0,True,True,Sat. 4-6pm,False,False,FOR_SALE,498000.0,"[{'open_house_start': 1685833200000, 'open_house_end': 1685840400000}]",True,False,False,USD,USA,351229.0,4400.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43810739,"$460,000",$460K,3.0,2.0,1656.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/a83d83035b7504436bcfeac2f7c99280-p_e.jpg,True,False,,False,/homedetails/1752-NW-44th-St-Miami-FL-33142/43810739_zpid/,ForSale,For Sale (Broker),True,False,False,"1752 NW 44th St, Miami, FL 33142",False,False,False,,390284349.0,25.815348,-80.22531,3D_HOME,3D Tour,43810739.0,1752 NW 44th St,33142,Miami,FL,25.815348,-80.22531,460000.0,2.0,3.0,1656.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,True,,False,False,FOR_SALE,460000.0,,True,False,False,USD,USA,334992.0,4928.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43816067,"$550,000",$550K,5.0,3.0,1775.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/591696b3ee1eb5731f2e86f96c4f7183-p_e.jpg,True,False,,False,/homedetails/761-NW-34th-St-Miami-FL-33127/43816067_zpid/,ForSale,For Sale (Broker),False,False,False,"761 NW 34th St, Miami, FL 33127",False,False,False,,131084349.0,25.808447,-80.2089,,,43816067.0,761 NW 34th St,33127,Miami,FL,25.808447,-80.2089,550000.0,3.0,5.0,1775.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,525555.0,3800.0,,True,,False,False,FOR_SALE,550000.0,,True,False,False,USD,USA,365188.0,7200.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44363861,"$485,000",$485K,3.0,2.0,1509.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/4061835dc9d35fe55fe91f958ef8c7dc-p_e.jpg,True,False,,False,/homedetails/12066-SW-210th-Ter-Miami-FL-33177/44363861_zpid/,ForSale,For Sale (Broker),False,False,False,"12066 SW 210th Ter, Miami, FL 33177",False,False,False,,303884349.0,25.570557,-80.38802,,,44363861.0,12066 SW 210th Ter,33177,Miami,FL,25.570557,-80.38802,485000.0,2.0,3.0,1509.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,True,,False,False,FOR_SALE,485000.0,,True,False,False,USD,USA,337730.0,4500.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62926081,"$175,900",$176K,1.0,1.0,496.0,FOR_SALE,Condo for sale,False,False,False,https://photos.zillowstatic.com/fp/3ebd0637d0d0473593e1e1a2d970db89-p_e.jpg,True,False,,False,/homedetails/1525-NW-19th-Ter-APT-10-Miami-FL-33125/62926081_zpid/,ForSale,For Sale (Broker),False,False,False,"1525 NW 19th Ter APT 10, Miami, FL 33125",False,False,False,,131084349.0,25.794119,-80.22197,,,62926081.0,1525 NW 19th Ter APT 10,33125,Miami,FL,25.794119,-80.22197,175900.0,1.0,1.0,496.0,CONDO,FOR_SALE,-1.0,False,False,172533.0,1852.0,,True,,False,False,FOR_SALE,175900.0,,True,False,False,USD,USA,108200.0,0.0,sqft,False,,Apt 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"From $630,000",,,,,FOR_SALE,The Epic West Condo,False,,,https://photos.zillowstatic.com/fp/9e4fe09cde0c2de7cae63016076876e1-p_e.jpg,True,,,,/b/200-biscayne-boulevard-way-miami-fl-5Xj28w/,,,True,,False,"200 Biscayne Boulevard Way, Miami, FL",False,False,False,,44684349.0,25.77043,-80.189156,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.77043--80.189156,1001428627.0,1.0,2.0,822.0,19.0,The Epic West Condo,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,44194246,"$625,000",$625K,3.0,2.0,1323.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/322b8d3860315774ad08e1ad522ba91e-p_e.jpg,True,False,,False,/homedetails/9121-SW-31st-Ter-Miami-FL-33165/44194246_zpid/,ForSale,For Sale (Broker),False,False,False,"9121 SW 31st Ter, Miami, FL 33165",False,False,False,,131084349.0,25.741146,-80.343254,OPEN_HOUSE,Open: Sat. 12-2pm,44194246.0,9121 SW 31st Ter,33165,Miami,FL,25.741146,-80.343254,625000.0,2.0,3.0,1323.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,True,Sat. 12-2pm,False,False,FOR_SALE,625000.0,"[{'open_house_start': 1685818800000, 'open_house_end': 1685826000000}]",True,False,False,USD,USA,376596.0,7950.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"From $1,395,000",,,,,FOR_SALE,Grove Isle,False,,,https://photos.zillowstatic.com/fp/06e5151ee2fca1f33c04bbfcf58fa6b7-p_e.jpg,True,,,,/b/1-grove-isle-dr-miami-fl-5Xj8Pf/,,,False,,False,"1 Grove Isle Dr, Miami, FL",False,False,False,,35420285.0,25.735134,-80.21957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.735134--80.21957,1001443657.0,2.0,2.0,1642.0,4.0,Grove Isle,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,43849868,"$675,000",$675K,3.0,2.0,1602.0,FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/292db19f40ee0e0edaf7291d7999abab-p_e.jpg,True,False,,False,/homedetails/1435-SW-25th-Ave-Miami-FL-33145/43849868_zpid/,ForSale,For Sale (Broker),False,False,False,"1435 SW 25th Ave, Miami, FL 33145",False,False,False,,131084349.0,25.759165,-80.23634,,,43849868.0,1435 SW 25th Ave,33145,Miami,FL,25.759165,-80.23634,675000.0,2.0,3.0,1602.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,True,,False,False,FOR_SALE,675000.0,,True,False,False,USD,USA,440911.0,6175.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"From $499,900",,,,,FOR_SALE,Blue Condominium,False,,,https://photos.zillowstatic.com/fp/fd5b647306d6c4049e84b49bfa8fc693-p_e.jpg,True,,,,/b/601-ne-36th-st-miami-fl-5Xj48N/,,,False,,False,"601 NE 36th St, Miami, FL",False,False,False,,50035077.0,25.810968,-80.18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.810968--80.18654,1001433402.0,1.0,2.0,761.0,7.0,Blue Condominium,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
