,zpid,price,beds,baths,area,zipcode,city,state,homeType,pricePerSQFT
0,44329567,498000,3.0,2.0,1986.0,33186,Miami,FL,SINGLE_FAMILY,251
1,43810739,460000,3.0,2.0,1656.0,33142,Miami,FL,SINGLE_FAMILY,278
2,43816067,550000,5.0,3.0,1775.0,33127,Miami,FL,SINGLE_FAMILY,310
3,44363861,485000,3.0,2.0,1509.0,33177,Miami,FL,SINGLE_FAMILY,321
4,62926081,175900,1.0,1.0,496.0,33125,Miami,FL,CONDO,355
6,44194246,625000,3.0,2.0,1323.0,33165,Miami,FL,SINGLE_FAMILY,472
8,43849868,675000,3.0,2.0,1602.0,33145,Miami,FL,SINGLE_FAMILY,421
18,43850890,850000,3.0,3.0,1161.0,33145,Miami,FL,SINGLE_FAMILY,732
21,2084343590,650000,7.0,4.0,1435.0,33127,Miami,FL,MULTI_FAMILY,453
22,156369401,799000,5.0,3.0,2444.0,33187,Miami,FL,SINGLE_FAMILY,327
24,44340844,499900,3.0,2.0,1473.0,33177,Miami,FL,SINGLE_FAMILY,339
25,44193266,645000,4.0,3.0,1668.0,33165,Miami,FL,SINGLE_FAMILY,387
26,44288055,525000,4.0,2.0,1548.0,33176,Miami,FL,SINGLE_FAMILY,339
27,44194294,899000,4.0,4.0,2416.0,33165,Miami,FL,SINGLE_FAMILY,372
29,43807054,650000,5.0,3.0,1762.0,33138,Miami,FL,MULTI_FAMILY,369
30,247698051,352000,3.0,2.0,1200.0,33142,Miami,FL,SINGLE_FAMILY,293
31,72564579,695000,5.0,3.0,2514.0,33190,Miami,FL,SINGLE_FAMILY,276
33,44302420,500000,4.0,2.0,1364.0,33157,Miami,FL,SINGLE_FAMILY,367
34,83159529,250000,1.0,1.0,609.0,33145,Miami,FL,CONDO,411
35,44348614,369900,4.0,2.0,2961.0,33177,Miami,FL,SINGLE_FAMILY,125
36,44336083,850000,4.0,2.0,1938.0,33187,Miami,FL,SINGLE_FAMILY,439
39,44274621,2350000,5.0,5.0,5344.0,33156,Miami,FL,SINGLE_FAMILY,440
40,44332029,405000,2.0,2.0,1261.0,33186,Miami,FL,TOWNHOUSE,321
41,44286429,2400000,4.0,3.0,3499.0,33176,Miami,FL,SINGLE_FAMILY,686
42,44279922,409500,2.0,2.0,1380.0,33176,Miami,FL,TOWNHOUSE,297
43,43810467,410000,3.0,2.0,1509.0,33142,Miami,FL,SINGLE_FAMILY,272
44,156309062,925000,4.0,3.0,2031.0,33176,Miami,FL,SINGLE_FAMILY,455
45,58455680,598000,3.0,2.0,1750.0,33186,Miami,FL,SINGLE_FAMILY,342
